Полимер,[-C45H30O6N6-],Полиизоцианурат на основе 4.4-дифенилметандиизоцианата,Полиизоцианураты,750.704
Полимер,[-C24H12N6-],Поли-2.4.6-фенилен-симм-триазин,Политриазины,384.365
Полимер,[-C51H42O6N6-],Полицианурат,Полицианураты,834.856
Полимер,[-C7H14-],Полигептен-1,Полиалкены,98.177
Полимер,[-C5H8O2-],Поли-б-валеролактон,Полилактоны,100.11
Полимер,[-C8H16-],Полиоктен-1,Полиалкены,112.202
Полимер,[-C6H8O4-],Полилактид,Полиэфиры,144.118
Полимер,[-C2H4O-],Полиэтаналь(изотактический),Полиальдегиды,44.05
Полимер,[-C6H10O2-],Поли-е-капролактон,Полилактоны,114.135
Полимер,[-C4H6O2-],Поли-γ-бутиролактон,Полилактоны,86.084
Полимер,[-CH2O-],Полиметаналь,Полиальдегиды,30.025
Полимер,[-C11H20O2-],Полиундеканолактон,Полилактоны,184.261
Полимер,[-C13H24O2-],Политридеканолактон,Полилактоны,212.312
Полимер,[-C15H28O2-],Полипентадеканолактон,Полилактоны,240.362
Полимер,[-C4H6-],транс-1.4-Полибутадиен,Полиалкеномеры,54.085
Полимер,[-C7H12-],Полигептеномер,Полиалкеномеры,96.161
Полимер,[-C7H12-],Поли-4-метилгексеномер,Полиалкеномеры,96.161
Полимер,[-C8H14-],транс-Изопренпропиленовый сополимер,Полиалкены сополимер,110.187
Полимер,[-C8H14-],цис-Изопренпропиленовый сополимер,Полиалкены сополимер,110.187
Полимер,[-C5H8-],транс-Полипентеномер,Полиалкеномеры,68.111
Полимер,[-C6H7O2N-],Полиэтил-α-цианакрилат,Полицианакрилаты,125.118
Полимер,[-C7H7O2N-],Полиаллил-α-цианакрилат,Полицианакрилаты,137.128
Полимер,[-C9H11O3N-],Полиаллилоксиэтил-α-цианакрилат,Полицианакрилаты,181.178
Полимер,[-C14H23O2N-],Поли-н-децил-α-цианакрилат,Полицианакрилаты,237.321
Полимер,[-C5H12Si-],Поливинилтриметилсилан,Поливинилорганосиланы,100.228
Полимер,[-C10H14Si-],Поливинилдиметилфенилсилан,Поливинилорганосиланы,162.292
Полимер,[-C4H8O-],Политетрагидрофуран,Полиэфиры,72.101
