Id,Тип,Формула,Название,Класс
387,Полимер,C3H6,гемиизотактический полипропилен,Полиалкены
388,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
389,Полимер,C3H6,гемиизотактический полипропилен,Полиалкены
390,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
391,Полимер,C3H6,гемиизотактический полипропилен,Полиалкены
392,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
393,Полимер,C3H6,гемиизотактический полипропилен,Полиалкены
394,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
395,Мономер,C6H8O5Co,Моногидрат акрилата собальта,Акрилаты
396,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
397,Мономер,C6H8O5Co,Моногидрат акрилата собальта,Акрилаты
398,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
399,Мономер,C6H8O5Co,Моногидрат акрилата собальта,Акрилаты
400,Полимер,C3H6,гемиизотактический полипропилен,Полиалкены
401,Полимер,C6H8O5Co,Монокристаллогидрат полиакрилата кобальта,Полиакрилаты
402,Полимер,C5.784497H9.568994O2,Сополимер 80%ММА + 20%ОМА,Виниловые и родственные
403,Полимер,C5.919758H9.655286O2.010235N0.02047,80% ММА+20% ОМА + 3% СПП,Виниловые и родственные
404,Полимер,C6.224825H9.849908O2.033319N0.066638,Сополимер 80% ММА + 20% ОМА + 10% СПП,Виниловые и родственные
405,Полимер,C1.236,Соп. 80%ММА и 20 %ОМА,Виниловые и родственные
406,Полимер,C125.2,ФПК-1 (3%СПП),Виниловые и родственные
407,Полимер,C1.265,ФПК-2 (10%СПП),Виниловые и родственные
408,Полимер,C12N54K12,G-5(BU),дендримеры
409,Полимер,C12H25N63,Bodr1,Огнестойкие
410,Мономер,C7H8,Норборнадиен,Циклодиены
411,Полимер,C1,Карбин,Карбиноидная структура
412,Полимер,C123.2H53.256N56.21O2.054,Витур,Сетки
413,Полимер,C10.25H56.35N1.258O56.3,ДЦЭБА-ВИТУР (50:50),Сетки
414,Полимер,C25H56.9O2.176N0.36,ДЦЭБА:ВИТУР(25 : 75),Сетки
415,Полимер,"C235H23N2,3O1,2",ДЦБЭА:Витур(75:25),Сетки
416,Полимер,C25H56.9O2.176N0.36,ДЦБЭА:ВИТУР(25 : 75),Сетки
417,Полимер,C1,"10УВ+20УГС+70ПТФЭ(№1, посл)",политетрафторэтилен+наполнители
418,Полимер,C14H26O4N2,"1,6 гександиол 1,6 ГМДУ",Полиуретан
419,Олигомер,C60,"С60(1.5 ГПа, 423 К)",фуллериты
420,Полимер,C60,Орторомбический фуллерит,Фуллериты
421,Олигомер,C60,димер(Ляпин),фуллериты
422,Полимер,C60,Орторомбический фуллерит,Фуллериты
423,Полимер,C14H26O4N2,"1,6гександиол1,6гмди",Полиуретан
424,Полимер,C14H26O4N2,"1,6 гександиол 1,6 ГМДУ",Полиуретан
425,Полимер,C14H26O4N2,"1,6гександиол1,6гмди(сr and am)",Полиуретан
426,Полимер,C14H26O4N2,"1,6гександиол)",Полиуретан
427,Полимер,C14H26O4N2,"1,6гександиол",Полиуретан
428,Полимер,C14H26O4N2,"1,6гександиол1,6гмди(сr and am)",Полиуретан
429,Полимер,C1,PMMA-C60,Фуллериты
430,Мономер,C6H8N2O2,"1,4-диизоцианатобутан",Диизоцианат
431,Мономер,C4H10O2,"1,4-бутандиол",Диолы
432,Мономер,C6H8N2O2,"1,4-диизоцианатобутан",Диизоцианат
433,Полимер,C34,Гель1,Гели
434,Полимер,C1,PMMA,фуллериты
435,Полимер,C1,ПММА-С70,Фуллериты
436,Полимер,C12H22N2O4,"бутандиолгексаметиленПУ-4,6",Полиуретан
437,Полимер,C14H26O4N2,"1,6гександиол1,6гмди(сr and am)",Полиуретан
438,Полимер,C12H22N2O4,"бутандиолгексаметиленПУ-4,6",Полиуретан
439,Полимер,C1,ПММА+20ПФГ,Полиакрилаты
440,Полимер,C1,ПММА+20 ПФГ (new),Полиакрилаты
441,Полимер,C1,ПММА-С70,Фуллериты
442,Полимер,C13H12O5N2P1Na1,ПАК-ПФ-ДП,Интерполимерные комплексы
443,Полимер,"C17,2H17,6O11,1N2P2,1Na2,1",ИПКП-2 (без воды),Интерполимерные комплексы
444,Мономер,C32H28Sb1O1N1,Ph4SbONCPhCH3,сурьма
445,Мономер,C37H30Sb1O1N1,Ph4SbONCPh2,сурьма
446,Мономер,C32H28Sb1O1N1,Ph4SbONCPhCH3,сурьма
447,Мономер,C32H28Sb1O1N1,Ph4SbONCPh2,сурьма
448,Мономер,"Li12C65,5H11,2O1,4",Li12C60(THF)1.4,Фулерены
449,Мономер,Al2O3,корунд,оксиды
450,Мономер,Rb1Nb1W1O6,RbNbWO6,вольфраматы
451,Мономер,Al2O3,корунд,Оксиды
452,Мономер,Rb1Nb1W1O6,RbNbWO6,вольфраматы
453,Мономер,Li1V1W1O6,LiVWO6,вольфраматы
454,Мономер,"Mg0,5Zr2P3O12","Mg0,5Zr2(PO4)3",Фосфаты
455,Мономер,C32H28Sb1O1N1,Ph4SbONCPhCH3-2,сурьма
456,Мономер,C32H28Sb1O1N1,Ph4SbONCPhMe,сурьма
457,Мономер,C32H28Sb1O1N1,Ph4SbONCPh2,сурьма
458,Мономер,C30H25Sb1,Ph5Sb,сурьма
459,Мономер,C32H28Sb1O1N1,Ph4SbONCPhMe,сурьма
460,Мономер,Li1V1W1O6,LiVWO6,вольфраматы
461,Мономер,C32H28Sb1O1N1,Ph4SbONCPhMe,сурьма
462,Мономер,C32H28Sb1O1N1,Ph4SbONCPh2,сурьма
463,Мономер,C37H30Sb1O1N1,Ph4SbONCPh2,сурьма
464,Мономер,Na1V1W1O6,NaVWO6,вольфраматы
465,Мономер,C34H31Sb1O2N2,Ph3Sb(ONCPhMe)2,сурьма
466,Мономер,Cs1Ta1W1O6,CsTaWO6,вольфраматы
467,Мономер,"Ba0,5Zr2P3O12","Ba0,5Zr2(PO4)3",Фосфаты
468,Мономер,Cs1Ta1W1O6,CsTaWO6-1,вольфраматы
469,Мономер,Rb1Nb1W1O6,RbNbWO6-1,вольфраматы
470,Мономер,Cs1Ta1W1O6,CsTaWO6-1,вольфраматы
471,Мономер,Rb1Nb1W1O6,RbNbWO6-1,вольфраматы
472,Мономер,Rb1Nb1W1O6,RbNbWO6,вольфраматы
473,Мономер,"Ba0,5Zr2P3O12","Ba0,5Zr2(PO4)3",Фосфаты
474,Мономер,Rb1Nb1W1O6,RbNbWO6-1,вольфраматы
475,Мономер,C34H31Sb1O2N2,Ph3Sb(ONCPhMe)2-2,сурьма
476,Мономер,C34H31Sb1O2N2,Ph3Sb(ONCPhMe)2,сурьма
477,Мономер,C11H20O2,2-этил-гексил-акрилат,акрилаты
478,Полимер,[-C6H12-],Полигексен-1,Полиалкены
479,Полимер,C11H20O2,поли-2-этил-гексил-акрилат,Акрилаты
480,Мономер,C11H20O2,2-этил-гексил-акрилат,акрилаты
481,Полимер,C11H20O2,поли-2-этил-гексил-акрилат,Акрилаты
482,Мономер,C11H20O2,2-этил-гексил-акрилат,акрилаты
483,Мономер,Na1Zr2As3O12,NaZr2(AsO4)3,Арсенаты
484,Мономер,Mo1C76H20,гапта6метаксилол2МоС60,Фуллерен
485,Мономер,C34H31Sb1O2N2,Ph3Sb(ONCPhMe)2,сурьма
486,Мономер,Sb1O4C26H25,Ph3Sb(O2CC(CH3)CH2)2,сурьма
487,Мономер,C34H31Sb1O2N2,Ph3Sb(ONCPhMe)2,сурьма
488,Мономер,C34H31Sb1O2N2,Ph3Sb(ONCPhMe)2-2,сурьма
489,Полимер,C1,(со)ПФГ1,ПФГ
490,Мономер,Sb1O4C26H25,Ph3Sb(O2CC(CH3)CH2)2,сурьма
491,Мономер,C11H16,C6H5-C5H11,Пимерзин
492,Мономер,K2Fe2Ti6O16,K2Fe2Ti6O16,Князев
493,Мономер,K2Fe2Ti6O16,K2Fe2Ti6O16-2,Князев
494,Мономер,K2Fe2Ti6O16,F2Fe2Ti6O16,Князев
495,Мономер,C24H21O4Sb1,Ph3Sb(O2CCH=CH2)2,сурьма
496,Мономер,Sb1O4C26H25,Ph3Sb(O2CC(CH3)CH2)2,сурьма
497,Олигомер,C21H29N3O5S,fMLF-OMe,Пептиды
498,Мономер,C1H1O14,диметакрилат сурьмы,сурьма
499,Мономер,C1,ампула,ампула
500,Мономер,Sb1O4C26H25,Ph3Sb(O2CC(CH3)CH2)2,сурьма
501,Мономер,C26H25O4Bi1,Ph3Bi(O2CCMe=CH2)2,сурьма
502,Мономер,C32H28Sb1O1N1,Ph4SbONCPhMe,сурьма
503,Мономер,C40H45O4Sb1,Ph3Sb(AKK)2,сурьма
504,Мономер,C40H45O4Sb1,Ph3Sb(AKK)2-2,сурьма
505,Мономер,C40H45O4Sb1,Ph3Sb(AKK)2,сурьма
506,Мономер,Li4Ti5O12,Li4Ti5O12,Князев
507,Мономер,Li4Ti5O12,Li4/3Ti5/3O4,Князев
508,Мономер,C1,"G3(SiOSi, 3EtOx)",дендримеры Музафарова
509,Мономер,C1,[(n6-(EtOBz))2Cr]*+[C60]*-,фуллерид
510,Мономер,C1,[(n6-(EtOBz))2Cr]*+[C60]*-   2,фуллерид
511,Мономер,C1,"G6(SiOSi,3EtOx)",дендримеры Музафарова
512,Мономер,C1,"G6(SiOSi, EtOx)",дендримеры Музафарова
513,Мономер,C40H45O4Sb1,Ph3Sb(AKK)2-2,сурьма
514,Мономер,Co7Sb2O12,Co7/3Sb2/3O4,Князев
515,Мономер,C80H100Yb2N4O4Cl2C6H6C6H6,1A,Федюшкин
516,Мономер,Cs1Co1P1O4,CsCoPo4,Фосфаты
517,Мономер,Cs1Co1P1O4,CsCoPO4,фосфат
518,Мономер,C30H25Sb1,Ph5Sb,+++
519,Олигомер,C1,Д2-С12Н25,Дендроны
520,Полимер,Si3C14H34O3,"G3(SiOSi,Eox)",дендримеры
521,неизвестно,Na3Pb2S3O12Cl,Na3Pb2(SO4)3Cl,Неорганические соединения
522,Мономер,C10H18O1,Терпен1,Терпены
523,Мономер,NaGdTiO4,Вещество Ани (Санкт-Петербург),Gd
524,Мономер,NaGdTiO4,NaGdTiO4,Соединения гадолиния Gd (Санкт-Пете)
525,Мономер,NaGdTiO4,Вещество Ани (Санкт-Петербург),Gd
526,Мономер,Na2Gd2Ti3O10,Na2Gd2Ti3O10,Gd
527,Полимер,C1,Жидкокристаллический карбосилановый дендример первой генерации с концевыми метоксифенилбензоатными группами,дендримеры
528,Мономер,Na2GdTiO4,Na2GdTiO4,Соединения Gd
529,Мономер,NaGdTiO4,Вещество Ани (Санкт-Петербург),Gd
530,Мономер,Na2GdTiO4,Na2GdTiO4,Соединения Gd
531,Полимер,C272 H428 Si21O48,Жидкокристаллический карбросилановый дендример первой генерации с концевыми метоксифенлбензоатными группами,дендримеры
532,Полимер,C1,G-4(Und-MPhB),дендримеры
533,Мономер,C60O22H22,Фуллеренол,Фулерены
534,Олигомер,C139H156N6O2,Д2-С2Н5 (1),Дендроны
535,Мономер,C8H6F8O2,Октафторметилакрилат,Акрилаты
536,Мономер,C8H6F8O2,Октафторпентилакрилат,Акрилаты
537,Мономер,C91H60N6O2,D3-PhPy,дендроны
538,Мономер,C203H132N14O2,D3-PhPy,дендроны
539,Мономер,C8H6F8O2,Октафторпентилакрилат,Акрилаты
540,Мономер,C1,"[(n6-Ph2)2Cr]""+[C70]""",фуллерид
541,Полимер,C40H25O2N4,Полифенилхиноксалин + нанокристаллический Fe3O4,Композит с Fe3O4
542,Мономер,S,S32,Изотопы Серы
543,Мономер,S,S34,Изотопы Серы
544,Мономер,S,S32-S34,Изотопы Серы
545,Олигомер,C46H138O21Si22,Силоксановый дендример второй генерации с концевыми триметилсесквиоксановыми группами,lдендримеры
546,Олигомер,C94H282O45Si46,Силаксаноый дендример третьей генирации с концевыми триметилсесквиоксановыми группами,дендример
547,Полимер,C40H25O2N4,Композит на основе полифенилхиноксалина и наночастиц оксида железа,Композит с Fe3O4
548,Полимер,C1,Полиэтиленоксим,Полиоксимы
549,Полимер,C1,Композит на основе полифенилхиноксалина и наночастиц оксида цинка,Композит с ZnO
550,Полимер,C1,Полиоксим со стиролом,Полиоксимы
551,Мономер,"Zn0,5Ti2P3O12",Zn05Ti2(PO4)3,Фосфаты
552,Мономер,Co1,Бубнов,+++
553,Полимер,C1,Полиэтиленоксим,Полиоксимы
554,Полимер,C1,Полиоксим с этиленом  05.11.2019,Полиоксимы
555,Полимер,C1,G4-TMS,dendrimr
556,Мономер,C60O22H22,Фуллеренол C60(OH)22,Фуллеренол
557,Мономер,C60(OH)24,C60(OH)24,Фуллеренол
558,Мономер,C60(OH)40,C60(OH)40 (лит.данные),Фуллеренол
559,Полимер,C3.7,терполимерСОЭБ35,наташа
560,Полимер,c60,G4J,dendrimr
561,неизвестно,RbMoO6,певое,сулейманов
562,Полимер,C1H1,шефрина1,дендримеры
563,Полимер,C1O1N1H1,ПЭПО,полиоксимы
564,Олигомер,C12,глицин-вода,князев
565,Полимер,C12,первый_смеш,dendrimr
566,Мономер,K1Ti1,Титан,Петьков
567,Мономер,C5H4N4,Gehby,Князев
568,Полимер,C2,G1,dendrimr
569,Полимер,C1,ПЭБО,наташа
570,Полимер,C72H172Si13,G1(Cm),dendrimr
571,Полимер,C1,ПЭПО,наташа
572,Полимер,C1772,G6,dendrimr
573,неизвестно,Rb1Ni1,Ниобий,Слейманов
574,неизвестно,Rb1Te1,RbTe,сулейманов
575,Полимер,C234,композиция,dendrimr
576,Полимер,C231,комплекс2,dendrimr
577,Полимер,C308H444N24Si24,St156,dendrimr
578,Полимер,C308H444,TS156,dendrimr
579,Полимер,C305H444N24Si24,Л156,dendrimr
580,Полимер,C608H604Si29,С608H604Si29,dendrimr
581,Мономер,C1H5N2Pb1I3,Италия1,италия
582,Мономер,C1I3,2,Италия
583,Полимер,C305H444N24Si24,Л156,dendrimr
584,Полимер,C1,Полиоксим со стиролом,Полиоксимы
585,Полимер,C1,ПЭПО,наташа
586,Полимер,C,"ПЭПК23,4%",наташа
587,Полимер,"C23,4","ПЭПК23,4%",наташа
588,Полимер,"C14,6",ПЭБК,наташа
589,Полимер,C3,ПЭК,наташа
590,Полимер,C308H444,TS156,dendrimr
591,Полимер,C305H444N24Si24,Л156,dendrimr
592,Полимер,C385H604N24Si24,Л156,dendrimr
593,Полимер,C385,83,dendrimr
594,Мономер,C12,CAS,успенская
595,Мономер,C12,C12F7(Ti5),успенская
596,Мономер,C12,C12A7,успенская
597,Мономер,C7H8N4O2,теотропин,Князев
598,Полимер,C234,композиция,dendrimr
599,Полимер,XC,композ1,dendrimr
600,Полимер,C12,композ2,dendrimr
601,Полимер,C234,композиция,dendrimr
602,Полимер,C12,ПЭПО13,Полиоксимы
603,Олигомер,C1,Изомер1,федюшкин
604,Олигомер,C2,изомер2,федюшкин
605,Мономер,C56,gkjhkjh,+++
606,Мономер,K5,KMgZr(PO4)3,Петьков
607,Олигомер,c1,Князев22С,Князев
608,Мономер,C16H20S6O6,Белый порошок23,италия
609,Полимер,C385,83,dendrimr
610,Мономер,H2Nd2TI3O10,зверева2,зверева
611,Мономер,H12C4Nd2Ti3O1,зверева3,зверева
612,Мономер,H12C4Nd2Ti3O11,зверева3,зверева
613,Мономер,C1,Гидро,Гармоны
614,Мономер,C4,Бубнов23,Гармоны
615,Мономер,c11,бубнов,+++
616,Олигомер,c12,петьков23,петьков
617,Мономер,C16H20S6O6,Белый порошок23,италия
618,неизвестно,C16H26,полиморф,Бубнов
619,неизвестно,Cs1,Ретьков Цезый,Петьков
